Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Pedagogía;Doctorado;1,0
Ambos sexos;Pedagogía;Máster;10,3
Ambos sexos;Pedagogía;Título universitario (excepto doctorado o máster);64,5
Ambos sexos;Pedagogía;Formación profesional de grado superior;10,8
Ambos sexos;Pedagogía;Formación profesional de grado medio / bachillerato;5,6
Ambos sexos;Pedagogía;Formación profesional básica;2,7
Ambos sexos;Pedagogía;ESO, EGB, etc ...;5,2
Ambos sexos;Educación infantil;Doctorado;0,7
Ambos sexos;Educación infantil;Máster;3,9
Ambos sexos;Educación infantil;Título universitario (excepto doctorado o máster);64,4
Ambos sexos;Educación infantil;Formación profesional de grado superior;16,2
Ambos sexos;Educación infantil;Formación profesional de grado medio / bachillerato;5,3
Ambos sexos;Educación infantil;Formación profesional básica;3,7
Ambos sexos;Educación infantil;ESO, EGB, etc ...;5,8
Ambos sexos;Educación primaria;Doctorado;1,0
Ambos sexos;Educación primaria;Máster;6,8
Ambos sexos;Educación primaria;Título universitario (excepto doctorado o máster);75,6
Ambos sexos;Educación primaria;Formación profesional de grado superior;6,3
Ambos sexos;Educación primaria;Formación profesional de grado medio / bachillerato;4,7
Ambos sexos;Educación primaria;Formación profesional básica;1,4
Ambos sexos;Educación primaria;ESO, EGB, etc ...;4,2
Ambos sexos;Otros maestros;Doctorado;3,0
Ambos sexos;Otros maestros;Máster;2,3
Ambos sexos;Otros maestros;Título universitario (excepto doctorado o máster);63,5
Ambos sexos;Otros maestros;Formación profesional de grado superior;9,6
Ambos sexos;Otros maestros;Formación profesional de grado medio / bachillerato;5,9
Ambos sexos;Otros maestros;Formación profesional básica;7,3
Ambos sexos;Otros maestros;ESO, EGB, etc ...;8,3
Ambos sexos;Educación social;Doctorado;0,7
Ambos sexos;Educación social;Máster;6,9
Ambos sexos;Educación social;Título universitario (excepto doctorado o máster);67,9
Ambos sexos;Educación social;Formación profesional de grado superior;10,1
Ambos sexos;Educación social;Formación profesional de grado medio / bachillerato;5,6
Ambos sexos;Educación social;Formación profesional básica;3,3
Ambos sexos;Educación social;ESO, EGB, etc ...;5,4
Ambos sexos;Audiovisual, imagen y multimedia;Doctorado;1,3
Ambos sexos;Audiovisual, imagen y multimedia;Máster;19,5
