Titulación;Sexo;Total
TOTAL;Ambos sexos;233.626
01 - EDUCACIÓN;Ambos sexos;41.108
Pedagogía;Ambos sexos;5.025
Educación infantil;Ambos sexos;12.644
Educación primaria;Ambos sexos;19.624
Otros maestros;Ambos sexos;1.393
Educación social;Ambos sexos;2.422
02 - ARTES Y HUMANIDADES;Ambos sexos;20.216
Audiovisual, imagen y multimedia;Ambos sexos;2.923
Diseño;Ambos sexos;534
Bellas artes;Ambos sexos;2.750
Historia del arte;Ambos sexos;1.541
Conservación y restauración;Ambos sexos;165
Música y Artes escénicas;Ambos sexos;367
Arqueología;Ambos sexos;91
Historia;Ambos sexos;2.853
Filosofía;Ambos sexos;809
Humanidades;Ambos sexos;658
Lengua inglesa;Ambos sexos;2.368
Lenguas clásicas;Ambos sexos;190
Otras lenguas extranjeras;Ambos sexos;557
Traducción e interpretación;Ambos sexos;1.917
Lenguas y dialectos españoles;Ambos sexos;1.990
Literatura;Ambos sexos;99
Lenguas modernas y aplicadas;Ambos sexos;404
03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN;Ambos sexos;21.241
Economía;Ambos sexos;4.104
Política y gestión pública;Ambos sexos;1.426
Relaciones internacionales;Ambos sexos;133
Psicología;Ambos sexos;8.022
Antropología social y cultural y Estudios y gestión de la cultura;Ambos sexos;619
Criminología;Ambos sexos;1.335
Geografía;Ambos sexos;256
Sociología e Igualdad de género;Ambos sexos;831
Comunicación;Ambos sexos;161
Periodismo;Ambos sexos;3.870
Información y documentación;Ambos sexos;484
04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO;Ambos sexos;48.349
Financiera y actuarial;Ambos sexos;158
Finanzas y contabilidad;Ambos sexos;946
Administración y empresa;Ambos sexos;21.463
Ciencias del trabajo;Ambos sexos;4.667
Gestión y administración pública;Ambos sexos;605
Marketing;Ambos sexos;948
Protocolo y eventos;Ambos sexos;51
Publicidad y relaciones públicas;Ambos sexos;3.154
Comercio;Ambos sexos;399
Derecho;Ambos sexos;15.958
05 - CIENCIAS;Ambos sexos;12.233
Biología;Ambos sexos;3.585
Bioquímica;Ambos sexos;832
Biotecnología;Ambos sexos;785
Biomedicina;Ambos sexos;250
Ciencias ambientales;Ambos sexos;1.864
Química;Ambos sexos;1.971
Ciencias del mar;Ambos sexos;212
Geografía y ordenación del territorio;Ambos sexos;366
Geología;Ambos sexos;374
Física;Ambos sexos;914
Matemáticas;Ambos sexos;840
Estadística;Ambos sexos;240
06 - INFORMÁTICA;Ambos sexos;6.859
Desarrollo de software y de aplicaciones e Ingeniería multimedia;Ambos sexos;187
Informática;Ambos sexos;6.672
07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Ambos sexos;38.686
Ingeniería química industrial e Ingeniería medioambiental;Ambos sexos;2.132
Ingeniería de la energía;Ambos sexos;141
Ingeniería eléctrica;Ambos sexos;1.686
Ingeniería de computadores;Ambos sexos;86
Ingeniería de sonido e imagen;Ambos sexos;437
Ingeniería de telecomunicación;Ambos sexos;2.335
Ingeniería electrónica industrial y automática;Ambos sexos;2.525
Ingeniería en electrónica;Ambos sexos;743
Ingeniería en diseño industrial y desarrollo del producto;Ambos sexos;946
Ingeniería en tecnologías industriales;Ambos sexos;5.091
Ingeniería mecánica;Ambos sexos;3.861
Ingeniería aeronáutica;Ambos sexos;1.543
Ingeniería naval y oceánica;Ambos sexos;553
Ingeniería de organización industrial y Nanotecnología;Ambos sexos;1.101
Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Ambos sexos;587
Enología;Ambos sexos;112
Ingeniería de materiales e Ingeniería textil;Ambos sexos;172
Ingeniería de minas y energía;Ambos sexos;807
Arquitectura y Urbanismo y paisajismo;Ambos sexos;3.841
Ingeniería geomática, topografía y cartografía;Ambos sexos;806
Arquitectura técnica;Ambos sexos;3.849
Ingeniería civil;Ambos sexos;5.332
08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Ambos sexos;4.033
Ingeniería agraria y agroalimentaria;Ambos sexos;417
Ingeniería agrícola, agropecuaria y medio rural;Ambos sexos;1.173
Ingeniería horticultura y jardinería;Ambos sexos;255
Ingeniería forestal y montes;Ambos sexos;765
Veterinaria;Ambos sexos;1.423
09 - SALUD Y SERVICIOS SOCIALES;Ambos sexos;33.181
Odontología;Ambos sexos;1.785
Medicina;Ambos sexos;5.571
Enfermería;Ambos sexos;11.700
Ingeniería biomédica y de la salud;Ambos sexos;106
Óptica y optometría;Ambos sexos;797
Fisioterapia;Ambos sexos;3.426
Logopedia;Ambos sexos;631
Nutrición humana y dietética;Ambos sexos;884
Podología;Ambos sexos;433
Terapia ocupacional;Ambos sexos;711
Farmacia;Ambos sexos;2.872
Trabajo social;Ambos sexos;4.265
10 - SERVICIOS;Ambos sexos;7.720
Actividad física y del deporte;Ambos sexos;3.866
Turismo;Ambos sexos;3.360
Náutica y transporte marítimo;Ambos sexos;242
Servicio de transporte terrestre y Servicio de transporte aéreo;Ambos sexos;116
Servicios (otros estudios);Ambos sexos;136
