Sexo;Titulación;Sueldo mensual neto en 2019;Total
Ambos sexos;Pedagogía;Menos de 700 euros;11,3
Ambos sexos;Pedagogía;De 700 a 999 euros;14,0
Ambos sexos;Pedagogía;De 1.000 a 1.499 euros;24,9
Ambos sexos;Pedagogía;De 1.500 a 1.999 euros;41,0
Ambos sexos;Pedagogía;De 2.000 a 2.499 euros;8,1
Ambos sexos;Pedagogía;De 2.500 a 2.999 euros;0,8
Ambos sexos;Pedagogía;De 3.000 euros en adelante;0,0
Ambos sexos;Educación infantil;Menos de 700 euros;16,5
Ambos sexos;Educación infantil;De 700 a 999 euros;17,1
Ambos sexos;Educación infantil;De 1.000 a 1.499 euros;25,7
Ambos sexos;Educación infantil;De 1.500 a 1.999 euros;35,7
Ambos sexos;Educación infantil;De 2.000 a 2.499 euros;3,6
Ambos sexos;Educación infantil;De 2.500 a 2.999 euros;0,5
Ambos sexos;Educación infantil;De 3.000 euros en adelante;0,8
Ambos sexos;Educación primaria;Menos de 700 euros;7,9
Ambos sexos;Educación primaria;De 700 a 999 euros;10,3
Ambos sexos;Educación primaria;De 1.000 a 1.499 euros;21,1
Ambos sexos;Educación primaria;De 1.500 a 1.999 euros;52,5
Ambos sexos;Educación primaria;De 2.000 a 2.499 euros;7,0
Ambos sexos;Educación primaria;De 2.500 a 2.999 euros;0,7
Ambos sexos;Educación primaria;De 3.000 euros en adelante;0,4
Ambos sexos;Otros maestros;Menos de 700 euros;11,9
Ambos sexos;Otros maestros;De 700 a 999 euros;17,8
Ambos sexos;Otros maestros;De 1.000 a 1.499 euros;32,8
Ambos sexos;Otros maestros;De 1.500 a 1.999 euros;28,7
Ambos sexos;Otros maestros;De 2.000 a 2.499 euros;8,5
Ambos sexos;Otros maestros;De 2.500 a 2.999 euros;0,0
Ambos sexos;Otros maestros;De 3.000 euros en adelante;0,2
Ambos sexos;Educación social;Menos de 700 euros;8,6
Ambos sexos;Educación social;De 700 a 999 euros;18,5
Ambos sexos;Educación social;De 1.000 a 1.499 euros;44,7
Ambos sexos;Educación social;De 1.500 a 1.999 euros;23,9
Ambos sexos;Educación social;De 2.000 a 2.499 euros;1,9
Ambos sexos;Educación social;De 2.500 a 2.999 euros;2,1
Ambos sexos;Educación social;De 3.000 euros en adelante;0,4
Ambos sexos;Audiovisual, imagen y multimedia;Menos de 700 euros;10,4
Ambos sexos;Audiovisual, imagen y multimedia;De 700 a 999 euros;12,9
Ambos sexos;Audiovisual, imagen y multimedia;De 1.000 a 1.499 euros;39,7
Ambos sexos;Audiovisual, imagen y multimedia;De 1.500 a 1.999 euros;20,2
Ambos sexos;Audiovisual, imagen y multimedia;De 2.000 a 2.499 euros;9,9
Ambos sexos;Audiovisual, imagen y multimedia;De 2.500 a 2.999 euros;2,9
Ambos sexos;Audiovisual, imagen y multimedia;De 3.000 euros en adelante;3,9
Ambos sexos;Diseño;Menos de 700 euros;11,6
Ambos sexos;Diseño;De 700 a 999 euros;9,9
Ambos sexos;Diseño;De 1.000 a 1.499 euros;43,6
Ambos sexos;Diseño;De 1.500 a 1.999 euros;23,2
Ambos sexos;Diseño;De 2.000 a 2.499 euros;6,9
Ambos sexos;Diseño;De 2.500 a 2.999 euros;0,0
Ambos sexos;Diseño;De 3.000 euros en adelante;4,8
Ambos sexos;Bellas artes;Menos de 700 euros;24,9
Ambos sexos;Bellas artes;De 700 a 999 euros;18,6
Ambos sexos;Bellas artes;De 1.000 a 1.499 euros;35,5
Ambos sexos;Bellas artes;De 1.500 a 1.999 euros;13,4
Ambos sexos;Bellas artes;De 2.000 a 2.499 euros;6,1
Ambos sexos;Bellas artes;De 2.500 a 2.999 euros;0,9
Ambos sexos;Bellas artes;De 3.000 euros en adelante;0,7
Ambos sexos;Historia del arte;Menos de 700 euros;17,2
Ambos sexos;Historia del arte;De 700 a 999 euros;17,0
Ambos sexos;Historia del arte;De 1.000 a 1.499 euros;40,3
Ambos sexos;Historia del arte;De 1.500 a 1.999 euros;9,2
Ambos sexos;Historia del arte;De 2.000 a 2.499 euros;11,6
Ambos sexos;Historia del arte;De 2.500 a 2.999 euros;2,3
Ambos sexos;Historia del arte;De 3.000 euros en adelante;2,4
Ambos sexos;Conservación y restauración;Menos de 700 euros;22,2
Ambos sexos;Conservación y restauración;De 700 a 999 euros;22,8
Ambos sexos;Conservación y restauración;De 1.000 a 1.499 euros;38,5
Ambos sexos;Conservación y restauración;De 1.500 a 1.999 euros;14,6
Ambos sexos;Conservación y restauración;De 2.000 a 2.499 euros;2,0
Ambos sexos;Conservación y restauración;De 2.500 a 2.999 euros;0,0
Ambos sexos;Conservación y restauración;De 3.000 euros en adelante;0,0
Ambos sexos;Música y Artes escénicas;Menos de 700 euros;11,9
Ambos sexos;Música y Artes escénicas;De 700 a 999 euros;10,7
Ambos sexos;Música y Artes escénicas;De 1.000 a 1.499 euros;15,8
Ambos sexos;Música y Artes escénicas;De 1.500 a 1.999 euros;42,1
Ambos sexos;Música y Artes escénicas;De 2.000 a 2.499 euros;18,4
Ambos sexos;Música y Artes escénicas;De 2.500 a 2.999 euros;0,0
Ambos sexos;Música y Artes escénicas;De 3.000 euros en adelante;1,0
Ambos sexos;Arqueología;Menos de 700 euros;17,5
Ambos sexos;Arqueología;De 700 a 999 euros;17,9
Ambos sexos;Arqueología;De 1.000 a 1.499 euros;54,0
Ambos sexos;Arqueología;De 1.500 a 1.999 euros;10,7
Ambos sexos;Arqueología;De 2.000 a 2.499 euros;0,0
Ambos sexos;Arqueología;De 2.500 a 2.999 euros;0,0
Ambos sexos;Arqueología;De 3.000 euros en adelante;0,0
Ambos sexos;Historia;Menos de 700 euros;12,8
Ambos sexos;Historia;De 700 a 999 euros;17,3
Ambos sexos;Historia;De 1.000 a 1.499 euros;38,6
Ambos sexos;Historia;De 1.500 a 1.999 euros;17,3
Ambos sexos;Historia;De 2.000 a 2.499 euros;9,1
Ambos sexos;Historia;De 2.500 a 2.999 euros;2,5
Ambos sexos;Historia;De 3.000 euros en adelante;2,4
Ambos sexos;Filosofía;Menos de 700 euros;12,1
Ambos sexos;Filosofía;De 700 a 999 euros;15,1
Ambos sexos;Filosofía;De 1.000 a 1.499 euros;30,8
Ambos sexos;Filosofía;De 1.500 a 1.999 euros;28,2
Ambos sexos;Filosofía;De 2.000 a 2.499 euros;8,5
Ambos sexos;Filosofía;De 2.500 a 2.999 euros;4,1
Ambos sexos;Filosofía;De 3.000 euros en adelante;1,2
Ambos sexos;Humanidades;Menos de 700 euros;14,6
Ambos sexos;Humanidades;De 700 a 999 euros;17,3
Ambos sexos;Humanidades;De 1.000 a 1.499 euros;34,7
Ambos sexos;Humanidades;De 1.500 a 1.999 euros;21,9
Ambos sexos;Humanidades;De 2.000 a 2.499 euros;6,5
Ambos sexos;Humanidades;De 2.500 a 2.999 euros;2,5
Ambos sexos;Humanidades;De 3.000 euros en adelante;2,6
Ambos sexos;Lengua inglesa;Menos de 700 euros;11,3
Ambos sexos;Lengua inglesa;De 700 a 999 euros;15,4
Ambos sexos;Lengua inglesa;De 1.000 a 1.499 euros;34,2
Ambos sexos;Lengua inglesa;De 1.500 a 1.999 euros;30,4
Ambos sexos;Lengua inglesa;De 2.000 a 2.499 euros;6,3
Ambos sexos;Lengua inglesa;De 2.500 a 2.999 euros;0,7
Ambos sexos;Lengua inglesa;De 3.000 euros en adelante;1,6
Ambos sexos;Lenguas clásicas;Menos de 700 euros;18,1
Ambos sexos;Lenguas clásicas;De 700 a 999 euros;16,9
Ambos sexos;Lenguas clásicas;De 1.000 a 1.499 euros;36,7
Ambos sexos;Lenguas clásicas;De 1.500 a 1.999 euros;24,5
Ambos sexos;Lenguas clásicas;De 2.000 a 2.499 euros;3,8
Ambos sexos;Lenguas clásicas;De 2.500 a 2.999 euros;0,0
Ambos sexos;Lenguas clásicas;De 3.000 euros en adelante;0,0
Ambos sexos;Otras lenguas extranjeras;Menos de 700 euros;11,0
Ambos sexos;Otras lenguas extranjeras;De 700 a 999 euros;13,2
Ambos sexos;Otras lenguas extranjeras;De 1.000 a 1.499 euros;27,6
Ambos sexos;Otras lenguas extranjeras;De 1.500 a 1.999 euros;37,4
Ambos sexos;Otras lenguas extranjeras;De 2.000 a 2.499 euros;7,6
Ambos sexos;Otras lenguas extranjeras;De 2.500 a 2.999 euros;3,1
Ambos sexos;Otras lenguas extranjeras;De 3.000 euros en adelante;0,0
Ambos sexos;Traducción e interpretación;Menos de 700 euros;12,0
Ambos sexos;Traducción e interpretación;De 700 a 999 euros;10,2
Ambos sexos;Traducción e interpretación;De 1.000 a 1.499 euros;37,6
Ambos sexos;Traducción e interpretación;De 1.500 a 1.999 euros;24,8
Ambos sexos;Traducción e interpretación;De 2.000 a 2.499 euros;4,8
Ambos sexos;Traducción e interpretación;De 2.500 a 2.999 euros;1,3
Ambos sexos;Traducción e interpretación;De 3.000 euros en adelante;9,2
Ambos sexos;Lenguas y dialectos españoles;Menos de 700 euros;5,5
Ambos sexos;Lenguas y dialectos españoles;De 700 a 999 euros;13,8
Ambos sexos;Lenguas y dialectos españoles;De 1.000 a 1.499 euros;27,6
Ambos sexos;Lenguas y dialectos españoles;De 1.500 a 1.999 euros;37,8
Ambos sexos;Lenguas y dialectos españoles;De 2.000 a 2.499 euros;12,3
